signal_i,entry_i,fill,signal_time,entry_time,signal_mult,outcome,exit_px,exit_i,return_pct,minutes,exit_time,ticker,date,gap_pct,open_price
1,3,1.9700000286102295,09:33,09:39,5.290279520942798,TP,2.1670000314712525,5,9.000000000000005,3.0,09:42,PFSA,2026-07-21,4.102560089733415,2.0299999713897705
1,6,2.3313149571418763,09:31,09:36,6.88462161199443,TP,2.564446452856064,23,9.000000000000002,17.0,09:53,SNTG,2026-07-22,12.44019144214157,2.3499999046325684
0,2,1.2999999523162842,09:30,09:37,5.7176130712982,SL,1.159999966621399,22,-11.769230063850333,109.0,11:26,AMSS,2026-07-22,9.401710969221485,1.2799999713897705
1,7,1.2699999809265137,09:31,09:37,8.594900278022875,TP,1.3969999790191652,46,9.00000000000001,39.0,10:16,LICN,2026-07-22,8.695654427396825,1.25
0,9,1.5958949625492096,09:30,09:39,5.999657582195099,TP,1.7554844588041307,21,9.000000000000012,12.0,09:51,CJMB,2026-07-22,4.166662527455388,1.5
3,11,1.7432099997997286,09:33,09:41,5.996245066578141,TP,1.9175309997797017,50,9.000000000000012,39.0,10:20,WLDS,2026-07-23,16.216216651604412,1.7200000286102295
6,8,2.700000047683716,09:36,09:47,7.580898412340225,SL,2.4300000429153443,8,-10.999999999999996,0.0,09:47,CJMB,2026-07-23,7.142857649699376,1.7999999523162842
1,7,2.981999909877777,09:31,09:37,7.143916780881889,TP,3.280199900865555,9,9.000000000000007,2.0,09:39,CJMB,2026-07-24,17.446812871032588,2.759999990463257
29,31,2.8770000100135804,09:59,10:01,6.920238261384481,TP,3.1647000110149386,63,9.000000000000005,33.0,10:34,WLDS,2026-07-24,14.79820273020276,2.559999942779541
4,34,1.8200000524520874,09:34,10:04,5.7998863272823415,TP,2.0020000576972965,64,9.00000000000002,30.0,10:34,ANY,2026-07-24,8.78186813858509,1.919999957084656
67,89,1.9897499799728395,10:38,11:00,8.450084921207388,SL,1.7907749819755556,267,-10.999999999999998,178.0,13:58,MOBX,2026-07-24,7.0680686927627665,2.0450000762939453
45,52,1.25,10:28,10:36,6.213889100561355,TP,1.3787000179290771,77,9.296001434326172,33.0,11:09,HYFT,2026-07-24,4.2372943854341605,1.2300000190734863
1,16,1.8392850458621979,09:31,09:46,6.354992933435549,TP,2.0232135504484177,31,9.0,15.0,10:01,GMEX,2026-07-27,16.326530943243892,1.7100000381469729
12,15,2.4779998898506164,09:42,09:45,8.661285397524583,TP,2.7257998788356783,16,9.000000000000012,1.0,09:46,LVWR,2026-07-27,9.589039865544988,1.600000023841858
25,27,1.2798999547958374,10:31,10:33,5.115297781237835,EOD,1.2599999904632568,208,-2.554806237629323,326.0,15:59,REBN,2026-07-27,9.109111044167758,1.090000033378601
9,12,2.1839999198913573,09:41,09:44,6.006450984606292,EOD,2.0350000858306885,242,-7.82233697463143,375.0,15:59,VRXA,2026-07-27,5.000001986821545,1.8899999856948853
14,23,1.5645000100135804,09:44,09:53,8.767582979250815,TP,1.7209500110149385,334,9.000000000000004,312.0,15:05,OPK,2026-07-28,11.290321340173897,1.3799999952316284
0,2,2.173499929904938,09:30,09:32,5.416433419332399,TP,2.390849922895432,8,9.000000000000002,6.0,09:38,LVWR,2026-07-29,10.25641245092704,2.1500000953674316
1,2,2.486999988555908,09:42,09:51,5.262143649310033,SL,2.2382999897003173,3,-11.000000000000004,1.0,09:52,BHST,2026-07-29,6.862750368730701,2.180000066757202
9,12,1.8200000524520874,09:41,09:45,6.051630843228619,TP,2.0020000576972965,33,9.00000000000002,33.0,10:18,YHC,2026-07-30,12.422355695490312,1.809999942779541
71,77,1.249500060081482,10:45,10:51,7.397294684318427,SL,1.124550054073334,81,-10.999999999999991,4.0,10:55,GVH,2026-07-30,12.087906761570355,1.0199999809265137
1,4,1.3912500500679017,09:31,09:34,6.733537266882036,TP,1.530375055074692,5,9.000000000000005,1.0,09:35,LUNG,2026-07-30,11.999998092651367,1.399999976158142
2,13,1.7219999849796297,09:32,09:44,5.644043163646405,TP,1.8941999834775929,17,9.000000000000012,4.0,09:48,DGNX,2026-07-30,10.96774719508224,1.7200000286102295
1,20,1.3331850528717042,09:31,09:50,8.573251286885771,EOD,1.2999999523162842,389,-3.489159361930943,369.0,15:59,SLNH,2026-07-30,6.1403555553045885,1.2100000381469729
6,10,1.1023950576782227,09:37,09:41,9.82634081765025,TP,1.212634563446045,11,9.0,1.0,09:42,FGL,2026-07-31,5.152473824722979,1.0
0,4,2.8299999237060547,09:30,09:36,8.005944453231002,EOD,2.740000009536743,86,-4.180209066982986,383.0,15:59,FTCI,2026-07-31,4.182505334955425,2.740000009536743
2,14,2.6995501041412355,09:32,09:44,8.830455599257593,TP,3.050100088119507,15,11.985496488489371,1.0,09:45,EDBL,2026-08-03,17.596570783511012,2.740000009536743
2,20,2.619749879837036,09:32,09:50,8.010963621147276,SL,2.3577748918533326,72,-11.000000000000002,53.0,10:43,RUBI,2026-08-03,10.76233217417001,2.4700000286102295
0,5,2.4700000286102295,09:30,09:45,8.478689787900876,EOD,2.3459999561309814,43,-6.020245791212316,374.0,15:59,ACON,2026-08-03,4.444440205891928,2.3499999046325684
37,49,2.049099922180176,10:21,10:33,7.070477162253769,SL,1.8301000595092773,78,-11.687612658629634,37.0,11:10,GDC,2026-08-03,4.16666991890433,1.75
