symbol,name,exchange,last_close,last_volume
ANGH,Anghami Inc. - Ordinary Shares,NASDAQ,3.2799999713897705,75270.0
ANGI,Angi Inc. - Class A Common Stock,NASDAQ,4.784999847412109,2006021.0
ANGX,"Angel Studios, Inc. Class A Common Stock",NYSE,4.239999771118164,2334579.0
ANIX,"Anixa Biosciences, Inc. - Common Stock",NASDAQ,3.4100000858306885,181309.0
ANNA,"AleAnna, Inc. - Class A Common Stock",NASDAQ,2.440000057220459,134105.0
ANNX,"Annexon, Inc. - common stock",NASDAQ,5.369999885559082,1759142.0
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,NASDAQ,4.900000095367432,25004.0
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,NASDAQ,11.449999809265137,626600.0
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,NASDAQ,4.0,22307.0
ANTX,"AN2 Therapeutics, Inc. - Common Stock",NASDAQ,5.840000152587891,142044.0
ANVS,"Annovis Bio, Inc. Common Stock",NYSE,1.8700000047683716,1082552.0
ANY,Sphere 3D Corp. - Common Shares,NASDAQ,2.2799999713897705,402926.0
AOMR,"Angel Oak Mortgage REIT, Inc. Common Stock",NYSE,8.890000343322754,106861.0
AOUT,"American Outdoor Brands, Inc. - Common Stock",NASDAQ,12.569999694824219,27443.0
AP,Ampco-Pittsburgh Corporation Common Stock,NYSE,9.4399995803833,71087.0
APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,NASDAQ,10.199999809265137,25123.0
API,"Agora, Inc. - ADS",NASDAQ,4.130000114440918,229835.0
APMC,AmperCap Acquisition Company - Ordinary Shares,NASDAQ,9.90999984741211,146000.0
APPS,"Digital Turbine, Inc. - Common Stock",NASDAQ,13.170000076293945,20530810.0
APRE,"Aprea Therapeutics, Inc. - Common Stock",NASDAQ,0.6209999918937683,63767.0
APUR,Aperture AC - Class A Ordinary Shares,NASDAQ,9.960000038146973,0.0
