min_gain_from_open_pct,min_volume_mult,take_profit_pct,stop_loss_pct,rr_ratio,sessions_scanned,entries_triggered,num_trades,win_rate_pct,avg_profit_pct,median_profit_pct,total_return_pct,tp_hit_pct,sl_hit_pct,eod_exit_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_r,median_minutes_held,ambiguous_excluded
2.0,2.0,15.0,10.0,1.5,2106,581,581,44.40619621342513,0.02843781299124005,-0.560233189861349,16.52236934791047,17.728055077452666,24.440619621342513,57.831325301204814,7.424618980657522,-5.879347763658608,1.008700428743907,0.004836899284478409,40.0,0
2.0,5.0,15.0,5.0,3.0,2106,244,244,30.327868852459016,-0.0019330285266229534,-5.0,-0.47165896049600065,19.672131147540984,64.75409836065575,15.573770491803279,10.945591071153228,-4.767325871916675,0.9994180250001684,-0.00040547438512857325,0.0,0
2.0,1.5,20.0,8.0,2.5,2106,911,911,42.15148188803512,-0.031677313750315024,-0.47534312746688273,-28.858032826536984,8.342480790340286,23.161361141602637,68.49615806805708,5.845989987027366,-4.314455764411851,0.9873079993022849,-0.007342134322388468,40.0,0
5.0,3.0,10.0,10.0,1.0,2106,315,315,46.98412698412698,-0.03476857910164899,-0.5952375461590091,-10.952102417019432,35.23809523809524,31.746031746031743,33.01587301587301,7.999355594093044,-7.15483072061551,0.9908339618140849,-0.004859455165231071,15.0,0
2.0,1.5,15.0,8.0,1.875,2106,911,911,43.578485181119646,-0.04074250670113398,-0.335570147625903,-37.11642360473306,10.867178924259056,21.734357848518112,67.39846322722283,5.3717928570284945,-4.221241610593474,0.9828934357407967,-0.009651782688507589,35.0,0
2.0,1.5,15.0,5.0,3.0,2106,911,911,39.736553238199775,-0.04174501136440236,-0.6941229109430626,-38.02970535297055,8.45225027442371,32.38199780461032,59.16575192096597,4.895809687924321,-3.2974732465966756,0.9789927436336594,-0.012659696756444473,25.0,0
5.0,3.0,15.0,10.0,1.5,2106,315,315,40.0,-0.04309057586370296,-1.928135582567134,-13.573531397066432,26.031746031746035,37.142857142857146,36.82539682539683,10.770322448321608,-7.252032591987242,0.9900968969004834,-0.005941861859710016,25.0,0
2.0,2.0,15.0,5.0,3.0,2106,581,581,37.005163511187604,-0.047595515475354594,-1.7355006067919434,-27.65299449118102,12.048192771084338,43.20137693631669,44.75043029259897,6.467128383383741,-3.874550811253239,0.9804997705700789,-0.012284137644322088,15.0,0
2.0,1.5,10.0,8.0,1.25,2106,911,911,46.212952799121844,-0.05023716297775733,-0.10591026378259537,-45.76605547273692,16.575192096597146,19.978046103183313,63.44676180021954,4.7101704253580525,-4.140301641935668,0.9774412298216026,-0.012133696363792112,30.0,0
2.0,2.0,20.0,10.0,2.0,2106,581,581,41.65232358003442,-0.05456133360466067,-0.871469442325595,-31.700134824307852,13.59724612736661,27.19449225473322,59.20826161790017,8.377393358832323,-6.073832824960856,0.9846043305947918,-0.008983015367238445,45.0,0
2.0,5.0,20.0,5.0,4.0,2106,244,244,26.639344262295083,-0.05685360039844272,-5.000000000000001,-13.872278497220023,15.163934426229508,68.44262295081968,16.39344262295082,12.947278765055614,-4.77902457109405,0.9837835605568858,-0.011896486312776452,0.0,0
2.0,3.0,10.0,5.0,2.0,2106,356,356,37.07865168539326,-0.06224189435107207,-4.9999999999999964,-22.15811438898166,24.43820224719101,50.84269662921348,24.719101123595504,7.201126422781332,-4.342441081232667,0.9772201506775172,-0.014333388337742002,5.0,0
2.0,1.5,5.0,10.0,0.5,2106,911,911,54.4456641053787,-0.06433467510525373,0.3320680801272612,-58.60888902088615,31.06476399560922,12.184412733260155,56.75082327113062,3.367920964921109,-4.1665004521006175,0.9661043505867513,-0.015440937987374566,20.0,0
2.0,1.5,10.0,5.0,2.0,2106,911,911,41.602634467618,-0.10063438411987001,-0.5602254253141765,-91.67792393320158,13.172338090010976,30.954994511525797,55.87266739846323,4.350290546706155,-3.271500077321118,0.9473247988343072,-0.030760929769647113,20.0,0
2.0,1.5,20.0,5.0,4.0,2106,911,911,38.199780461031835,-0.1162298927921619,-0.8064508376086847,-105.8854323336595,5.92755214050494,33.91877058177827,60.1536772777168,5.09892925301125,-3.3398096134663855,0.9436873313650685,-0.03480135284463925,25.0,0
2.0,5.0,10.0,10.0,1.0,2106,244,244,48.36065573770492,-0.12037894031661092,-0.5691336571562692,-29.372461437253065,39.34426229508197,38.114754098360656,22.540983606557376,8.57126190699778,-8.260169575103104,0.9717784518596129,-0.014573422400363778,10.0,0
5.0,3.0,15.0,8.0,1.875,2106,315,315,36.507936507936506,-0.12488278278599234,-3.22580792836442,-39.338076577587586,23.174603174603174,44.761904761904766,32.06349206349206,10.606756562304193,-6.29557540621285,0.9687573620841976,-0.019836595502096686,15.0,0
2.0,2.0,10.0,8.0,1.25,2106,581,581,45.26678141135972,-0.1385923753407095,-0.48231083574147604,-80.52217007295222,22.203098106712567,27.538726333907054,50.25817555938038,5.901124461088167,-5.133704098550755,0.9506760875894514,-0.026996564796135044,25.0,0
2.0,3.0,5.0,10.0,0.5,2106,356,356,59.55056179775281,-0.14372551559327407,4.999999999999996,-51.16628355120557,50.28089887640449,22.752808988764045,26.96629213483146,4.418312304636838,-6.860058973154273,0.9482043208461426,-0.020951061230773747,5.0,0
2.0,2.0,15.0,8.0,1.875,2106,581,581,41.65232358003442,-0.16085438104607627,-0.952669973932094,-93.45639538777031,15.3184165232358,30.808950086058516,53.87263339070568,7.007073079903035,-5.277781949039248,0.9477654467488953,-0.030477648110369116,30.0,0
2.0,2.0,5.0,10.0,0.5,2106,581,581,56.28227194492255,-0.17522234461973007,0.7318416264450062,-101.80418222406317,39.070567986230635,16.523235800344235,44.40619621342513,3.8534824049965493,-5.361783183692656,0.9252480278869022,-0.03267986388421148,15.0,0
2.0,5.0,20.0,10.0,2.0,2106,244,244,37.295081967213115,-0.1764310127565443,-7.625537776573097,-43.049167112596805,23.36065573770492,48.77049180327869,27.86885245901639,13.83796115963899,-8.511788448625785,0.9669438324261316,-0.020727842781974783,20.0,0
2.0,5.0,20.0,8.0,2.5,2106,244,244,33.60655737704918,-0.1972086086558971,-7.999999999999989,-48.11890051203889,20.491803278688526,56.14754098360656,23.36065573770492,13.529444559195637,-7.145267619543712,0.9584297935514858,-0.02759989116663633,12.5,0
2.0,1.5,5.0,8.0,0.625,2106,911,911,51.591657519209654,-0.21434160090326584,0.1338718763415035,-195.2651984228752,28.210757409440173,16.68496158068057,55.10428100987925,3.2776357417039783,-3.9359501066298077,0.8875041055600669,-0.05445739785731119,20.0,0
