ticker,date,prior_close,open_price,gap_pct,high,low,close_price,volume,avg_volume,volume_ratio,daily_gain_high_from_open,daily_drawdown_low_from_open,close_vs_open_pct,intraday_open,max_gain_from_open,max_drawdown_from_open,max_drawdown_before_peak,risk_reward,time_of_peak,minutes_to_peak,time_of_low,intraday_high,intraday_low,intraday_close,intraday_source,bars,gap_bucket,price_bucket,trade_outcome,trade_entry_price,trade_exit_price,trade_exit_time,trade_return_pct,trade_minutes_held,trade_bars_held,trade_mfe_pct,trade_mae_pct
ACXP,2026-03-10,1.955000042915344,2.0899999141693115,6.9053641069312794,3.130000114440918,2.0799999237060547,2.9000000953674316,34350000,807800.0,42.522901708343646,49.760777176154264,0.4784684628674455,38.75599112261503,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
ACXP,2026-03-11,2.9000000953674316,3.4800000190734863,19.999996711467983,6.300000190734863,3.299999952316284,6.03000020980835,107122500,4237930.0,25.277081027765913,81.03448724727802,5.17241568306443,73.27586714823565,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
ACTG,2026-03-11,4.150000095367432,4.559999942779541,9.879514168440252,5.099999904632568,4.5,5.0,2766200,243270.0,11.370904756032392,11.842104575200306,1.31578823536055,9.649124182932722,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
AIFF,2026-03-13,1.7400000095367432,1.899999976158142,9.19540033014122,2.8299999237060547,1.850000023841858,2.75,80566200,38462360.0,2.094676457710863,48.947366274624954,2.6315764707211,44.73684392147119,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
AIRS,2026-03-16,1.850000023841858,2.865000009536743,54.86486338454501,3.259999990463257,2.490000009536743,2.805000066757202,77428100,1006630.0,76.91813277967078,13.78708480319982,13.089005192032644,-2.09423883350153,,,,,,,,,,,,,,50%+,$1-3,no_data,,,,,,,,
ABOS,2026-03-16,3.2699999809265137,3.5,7.033639768044241,3.5999999046325684,3.2100000381469727,3.3399999141693115,9318300,335350.0,27.786789920978084,2.857140132359096,8.285713195800781,-4.571431023733957,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ALDX,2026-03-16,4.125,4.380000114440918,6.181820956143466,4.449999809265137,4.065000057220459,4.230000019073486,3732800,1641650.0,2.2738098863947855,1.5981665067411492,7.191781940413647,-3.4246596221054735,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ANNA,2026-03-19,3.660000085830689,3.900000095367432,6.557377155969979,4.25,3.5999999046325684,3.7899999618530273,2040900,895750.0,2.278425900083729,8.974356309588597,7.692312394843655,-2.8205161749884735,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ANNA,2026-03-20,3.7899999618530273,3.9800000190734863,5.013194172370469,7.840000152587891,3.849999904632568,7.070000171661377,115438600,1032150.0,111.8428522986,96.98492751296476,3.2663345180380428,77.63819441657238,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
AIIO,2026-03-23,2.0999999046325684,2.259999990463257,7.61905205222775,2.259999990463257,1.7999999523162842,1.940000057220459,302320,110086.0,2.7462165942990024,0.0,20.3539840746938,-14.159289141289069,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
