signal_i,entry_i,fill,signal_time,entry_time,signal_vol,signal_mult,outcome,exit_px,exit_i,return_pct,minutes,exit_time,ticker,date,gap_pct,open_price,baseline
304,305,1.690000057220459,15:27,15:32,103216.0,8.041871462253196,SL,1.5210000514984132,327,-10.999999999999993,22.0,15:54,CYCU,2026-07-30,19.629629997559523,0.3230000138282776,12834.823397075366
20,44,9.1617751121521,10:00,10:29,9124.0,8.797765179286532,EOD,9.550000190734863,204,3.2374438777461947,330.0,15:59,SMHI,2026-07-30,18.264253401155393,9.130000114440918,1037.0815558343788
9,10,1.8141000270843506,09:41,09:42,13455.0,6.051630843228619,TP,1.995510029792786,33,9.000000000000014,36.0,10:18,YHC,2026-07-30,12.422355695490312,1.809999942779541,2223.367609254499
71,77,1.249500060081482,10:45,10:51,126018.0,7.397294684318427,SL,1.124550054073334,81,-10.999999999999991,4.0,10:55,GVH,2026-07-30,12.087906761570355,1.0199999809265137,17035.687420584498
1,4,1.3912500500679017,09:31,09:34,13308.0,6.733537266882036,TP,1.530375055074692,5,9.000000000000005,1.0,09:35,LUNG,2026-07-30,11.999998092651367,1.399999976158142,1976.3757847533632
6,9,1.0123050034046173,09:36,09:39,53807.0,7.258398663342503,TP,1.1135355037450791,69,9.000000000000016,60.0,10:39,TGHL,2026-07-31,14.538042542977095,0.8429999947547913,7413.0676056338025
26,28,0.7057050079107284,10:00,10:02,11759.0,6.05820917840248,TP,0.7762755087018013,81,9.000000000000002,54.0,10:56,BTOG,2026-07-31,10.70110089702422,0.8999999761581421,1941.0026385224273
16,35,0.18952500075101852,09:46,10:05,98959.0,6.791379359701637,SL,0.17057250067591667,135,-11.0,103.0,11:48,ELPW,2026-07-31,10.152282305755795,0.2169999927282333,14571.266713091922
2,3,2.6995501041412355,09:32,09:33,203223.0,8.830455599257593,TP,2.9695051145553593,14,9.000000000000005,11.0,09:44,EDBL,2026-08-03,17.596570783511012,2.740000009536743,23013.874846625768
44,47,0.7166250050067902,11:27,11:45,12499.0,5.034645545203546,EOD,0.7177000045776367,163,-0.8499913394961188,254.0,15:59,GOVX,2026-08-03,12.628491335532663,0.7670000195503235,2482.597809076682
2,4,0.47260500490665436,09:32,09:34,19990.0,5.223909438979847,SL,0.4253445044159889,9,-11.0,5.0,09:39,ADGM,2026-08-03,11.693122798580054,0.4221999943256378,3826.6360153256705
2,20,2.619749879837036,09:32,09:50,23627.0,8.010963621147276,SL,2.3577748918533326,72,-11.000000000000002,53.0,10:43,RUBI,2026-08-03,10.76233217417001,2.4700000286102295,2949.3330786860197
17,19,0.3028199940919876,09:47,09:49,2765322.0,8.38320572415446,TP,0.3331019935011864,21,9.000000000000009,2.0,09:51,ZBAO,2026-08-03,10.600000461935991,0.2212000042200088,329864.50422328315
