min_gain_from_open_pct,min_volume_mult,take_profit_pct,stop_loss_pct,sessions_scanned,entries_triggered,num_trades,win_rate_pct,avg_profit_pct,median_profit_pct,total_return_pct,tp_hit_pct,sl_hit_pct,eod_exit_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_r,median_minutes_held,ambiguous_excluded
8.0,2.0,5.0,10.0,25,14,14,50.0,-1.3133831178230218,-0.02012360046896755,-18.387363649522303,42.857142857142854,28.57142857142857,28.57142857142857,4.760701482054869,-7.387467717700913,0.6444294126183293,-0.17778529369083532,10.0,0
8.0,2.0,5.0,5.0,25,14,14,35.714285714285715,-1.3133831178230242,-4.1735582242922,-18.38736364952234,28.57142857142857,42.857142857142854,28.57142857142857,4.664982074876815,-4.63469711376738,0.5591857773329727,-0.2833805717145175,2.5,0
5.0,3.0,15.0,8.0,25,12,12,33.33333333333333,-1.3214442738428445,-5.004017140968706,-15.857331286114134,16.666666666666664,50.0,33.33333333333333,8.688716268324335,-6.326524544926433,0.6866895249218835,-0.20887365005207778,17.5,0
2.0,3.0,5.0,5.0,25,13,13,38.46153846153847,-1.3495878270443784,-5.0,-17.54464175157692,23.076923076923077,53.84615384615385,23.076923076923077,3.8926785060721096,-4.626004285242184,0.5259234354919535,-0.2917394243126439,0.0,0
10.0,3.0,15.0,8.0,25,9,9,33.33333333333333,-1.354773364860173,-7.999999999999992,-12.192960283741556,22.22222222222222,55.55555555555556,22.22222222222222,10.482091880101445,-7.273205987340982,0.7205963847542288,-0.18626907683051416,10.0,0
2.0,2.0,20.0,10.0,25,21,21,28.57142857142857,-1.3602261077300999,-5.92695104607752,-28.564748262332095,19.047619047619047,42.857142857142854,38.095238095238095,15.010124270819583,-7.9083662591499735,0.7592022816825349,-0.17199837022676073,80.0,0
15.0,3.0,10.0,3.0,25,8,8,12.5,-1.3750000000000022,-3.0000000000000018,-11.000000000000018,12.5,87.5,0.0,10.000000000000005,-3.0000000000000036,0.4761904761904759,-0.45833333333333354,0.0,0
8.0,3.0,5.0,3.0,25,10,10,20.0,-1.4000000000000026,-3.0000000000000027,-14.000000000000025,20.0,80.0,0.0,5.000000000000007,-3.0000000000000053,0.4166666666666665,-0.4666666666666667,0.0,0
2.0,3.0,15.0,8.0,25,13,13,38.46153846153847,-1.432487015707372,-6.9961605149224,-18.622331204195834,15.384615384615385,46.15384615384615,38.46153846153847,7.676372718532792,-7.125524349607475,0.6733164766109162,-0.2010360143932823,20.0,0
5.0,3.0,20.0,10.0,25,12,12,33.33333333333333,-1.4592286964794174,-5.830723676788162,-17.51074435775301,16.666666666666664,41.66666666666667,41.66666666666667,11.188716268324338,-7.783201178881295,0.7187734205485699,-0.18748438630095351,17.5,0
