ticker,bar,observed_at,age_s,volume,close
RPGL,2026-08-03 15:54:00-04:00,2026-08-03 23:40:08.094602-04:00,27908.094602,0.0,1.940000057220459
RPGL,2026-08-03 15:56:00-04:00,2026-08-03 23:40:08.094602-04:00,27788.094602,819.0,1.8849999904632568
RPGL,2026-08-03 15:57:00-04:00,2026-08-03 23:40:08.094602-04:00,27728.094602,1210.0,1.8600000143051147
BRLT,2026-08-03 14:56:00-04:00,2026-08-03 23:40:08.094602-04:00,31388.094602,2505.0,1.0750000476837158
BRLT,2026-08-03 14:57:00-04:00,2026-08-03 23:40:08.094602-04:00,31328.094602,1335.0,1.065000057220459
BRLT,2026-08-03 15:01:00-04:00,2026-08-03 23:40:08.094602-04:00,31088.094602,581.0,1.0700000524520874
BRLT,2026-08-03 15:29:00-04:00,2026-08-03 23:40:08.094602-04:00,29408.094602,1218.0,1.065000057220459
BRLT,2026-08-03 15:54:00-04:00,2026-08-03 23:40:08.094602-04:00,27908.094602,118.0,1.059999942779541
BRLT,2026-08-03 15:57:00-04:00,2026-08-03 23:40:08.094602-04:00,27728.094602,106.0,1.065000057220459
BRCC,2026-08-03 15:54:00-04:00,2026-08-03 23:40:08.094602-04:00,27908.094602,1151.0,1.0741000175476074
BRCC,2026-08-03 15:55:00-04:00,2026-08-03 23:40:08.094602-04:00,27848.094602,9003.0,1.059999942779541
BRCC,2026-08-03 15:56:00-04:00,2026-08-03 23:40:08.094602-04:00,27788.094602,3913.0,1.0700000524520874
BRCC,2026-08-03 15:57:00-04:00,2026-08-03 23:40:08.094602-04:00,27728.094602,39976.0,1.0549999475479126
BRCC,2026-08-03 15:58:00-04:00,2026-08-03 23:40:08.094602-04:00,27668.094602,48757.0,1.034999966621399
BRCC,2026-08-03 15:59:00-04:00,2026-08-03 23:40:08.094602-04:00,27608.094602,213429.0,0.9948999881744385
USDE,2026-08-03 15:41:00-04:00,2026-08-03 23:40:08.094602-04:00,28688.094602,767.0,1.738800048828125
USDE,2026-08-03 15:45:00-04:00,2026-08-03 23:40:08.094602-04:00,28448.094602,237.0,1.7100000381469727
USDE,2026-08-03 15:55:00-04:00,2026-08-03 23:40:08.094602-04:00,27848.094602,451.0,1.6933000087738037
USDE,2026-08-03 15:57:00-04:00,2026-08-03 23:40:08.094602-04:00,27728.094602,1000.0,1.7100000381469727
USDE,2026-08-03 15:58:00-04:00,2026-08-03 23:40:08.094602-04:00,27668.094602,1338.0,1.7100000381469727
USDE,2026-08-03 15:59:00-04:00,2026-08-03 23:40:08.094602-04:00,27608.094602,2124.0,1.7050000429153442
JZXN,2026-08-03 15:53:00-04:00,2026-08-03 23:40:08.094602-04:00,27968.094602,600.0,1.4800000190734863
JZXN,2026-08-03 15:54:00-04:00,2026-08-03 23:40:08.094602-04:00,27908.094602,130.0,1.5
JZXN,2026-08-03 15:55:00-04:00,2026-08-03 23:40:08.094602-04:00,27848.094602,1660.0,1.4901000261306763
JZXN,2026-08-03 15:57:00-04:00,2026-08-03 23:40:08.094602-04:00,27728.094602,1130.0,1.5199999809265137
JZXN,2026-08-03 15:58:00-04:00,2026-08-03 23:40:08.094602-04:00,27668.094602,1300.0,1.5199999809265137
JZXN,2026-08-03 15:59:00-04:00,2026-08-03 23:40:08.094602-04:00,27608.094602,880.0,1.5149999856948853
RPGL,2026-08-03 15:44:00-04:00,2026-08-03 23:40:28.144106-04:00,28528.144106,280.0,1.9199999570846558
RPGL,2026-08-03 15:46:00-04:00,2026-08-03 23:40:28.144106-04:00,28408.144106,285.0,1.909999966621399
RPGL,2026-08-03 15:50:00-04:00,2026-08-03 23:40:28.144106-04:00,28168.144106,1226.0,1.9450000524520874
RPGL,2026-08-03 15:54:00-04:00,2026-08-03 23:40:28.144106-04:00,27928.144106,0.0,1.940000057220459
RPGL,2026-08-03 15:56:00-04:00,2026-08-03 23:40:28.144106-04:00,27808.144106,819.0,1.8849999904632568
RPGL,2026-08-03 15:57:00-04:00,2026-08-03 23:40:28.144106-04:00,27748.144106,1210.0,1.8600000143051147
VANI,2026-08-03 15:43:00-04:00,2026-08-03 23:40:28.144106-04:00,28588.144106,1202.0,1.3499000072479248
VANI,2026-08-03 15:49:00-04:00,2026-08-03 23:40:28.144106-04:00,28228.144106,1302.0,1.340000033378601
VANI,2026-08-03 15:50:00-04:00,2026-08-03 23:40:28.144106-04:00,28168.144106,1770.0,1.3300000429153442
VANI,2026-08-03 15:51:00-04:00,2026-08-03 23:40:28.144106-04:00,28108.144106,133.0,1.332900047302246
VANI,2026-08-03 15:55:00-04:00,2026-08-03 23:40:28.144106-04:00,27868.144106,932.0,1.3350000381469727
VANI,2026-08-03 15:58:00-04:00,2026-08-03 23:40:28.144106-04:00,27688.144106,969.0,1.335800051689148
FABC,2026-08-03 15:54:00-04:00,2026-08-03 23:40:28.144106-04:00,27928.144106,449.0,2.7200000286102295
FABC,2026-08-03 15:55:00-04:00,2026-08-03 23:40:28.144106-04:00,27868.144106,60.0,2.7200000286102295
FABC,2026-08-03 15:56:00-04:00,2026-08-03 23:40:28.144106-04:00,27808.144106,1347.0,2.7300000190734863
FABC,2026-08-03 15:57:00-04:00,2026-08-03 23:40:28.144106-04:00,27748.144106,1089.0,2.7249999046325684
FABC,2026-08-03 15:58:00-04:00,2026-08-03 23:40:28.144106-04:00,27688.144106,3266.0,2.7300000190734863
FABC,2026-08-03 15:59:00-04:00,2026-08-03 23:40:28.144106-04:00,27628.144106,505.0,2.7300000190734863
EDBL,2026-08-03 15:54:00-04:00,2026-08-03 23:40:28.144106-04:00,27928.144106,8563.0,2.2701001167297363
EDBL,2026-08-03 15:55:00-04:00,2026-08-03 23:40:28.144106-04:00,27868.144106,7886.0,2.2701001167297363
EDBL,2026-08-03 15:56:00-04:00,2026-08-03 23:40:28.144106-04:00,27808.144106,3328.0,2.2701001167297363
EDBL,2026-08-03 15:57:00-04:00,2026-08-03 23:40:28.144106-04:00,27748.144106,13501.0,2.259999990463257
EDBL,2026-08-03 15:58:00-04:00,2026-08-03 23:40:28.144106-04:00,27688.144106,7305.0,2.255000114440918
EDBL,2026-08-03 15:59:00-04:00,2026-08-03 23:40:28.144106-04:00,27628.144106,18716.0,2.259999990463257
ABTS,2026-08-03 13:21:00-04:00,2026-08-03 23:40:28.144106-04:00,37108.144106,200.0,1.087499976158142
ABTS,2026-08-03 13:25:00-04:00,2026-08-03 23:40:28.144106-04:00,36868.144106,340.0,1.0651999711990356
ABTS,2026-08-03 13:30:00-04:00,2026-08-03 23:40:28.144106-04:00,36568.144106,322.0,1.0700000524520874
ABTS,2026-08-03 15:42:00-04:00,2026-08-03 23:40:28.144106-04:00,28648.144106,322.0,1.0750000476837158
ABTS,2026-08-03 15:55:00-04:00,2026-08-03 23:40:28.144106-04:00,27868.144106,1860.0,1.0399999618530273
ABTS,2026-08-03 15:59:00-04:00,2026-08-03 23:40:28.144106-04:00,27628.144106,2258.0,1.0306999683380127
RUBI,2026-08-03 15:53:00-04:00,2026-08-03 23:40:28.144106-04:00,27988.144106,4818.0,2.3399999141693115
RUBI,2026-08-03 15:54:00-04:00,2026-08-03 23:40:28.144106-04:00,27928.144106,6901.0,2.380000114440918
RUBI,2026-08-03 15:55:00-04:00,2026-08-03 23:40:28.144106-04:00,27868.144106,2203.0,2.4000000953674316
RUBI,2026-08-03 15:56:00-04:00,2026-08-03 23:40:28.144106-04:00,27808.144106,1030.0,2.3399999141693115
RUBI,2026-08-03 15:58:00-04:00,2026-08-03 23:40:28.144106-04:00,27688.144106,1937.0,2.355600118637085
RUBI,2026-08-03 15:59:00-04:00,2026-08-03 23:40:28.144106-04:00,27628.144106,4246.0,2.3499999046325684
TGHL,2026-08-03 15:54:00-04:00,2026-08-03 23:40:28.144106-04:00,27928.144106,342.0,1.1891000270843506
TGHL,2026-08-03 15:55:00-04:00,2026-08-03 23:40:28.144106-04:00,27868.144106,7711.0,1.184999942779541
TGHL,2026-08-03 15:56:00-04:00,2026-08-03 23:40:28.144106-04:00,27808.144106,1640.0,1.184999942779541
TGHL,2026-08-03 15:57:00-04:00,2026-08-03 23:40:28.144106-04:00,27748.144106,7642.0,1.184999942779541
TGHL,2026-08-03 15:58:00-04:00,2026-08-03 23:40:28.144106-04:00,27688.144106,8466.0,1.2098000049591064
TGHL,2026-08-03 15:59:00-04:00,2026-08-03 23:40:28.144106-04:00,27628.144106,12849.0,1.2050000429153442
OXBR,2026-08-03 15:38:00-04:00,2026-08-03 23:40:28.144106-04:00,28888.144106,525.0,1.3849999904632568
OXBR,2026-08-03 15:40:00-04:00,2026-08-03 23:40:28.144106-04:00,28768.144106,525.0,1.4039000272750854
OXBR,2026-08-03 15:45:00-04:00,2026-08-03 23:40:28.144106-04:00,28468.144106,1015.0,1.3849999904632568
OXBR,2026-08-03 15:49:00-04:00,2026-08-03 23:40:28.144106-04:00,28228.144106,675.0,1.360200047492981
OXBR,2026-08-03 15:50:00-04:00,2026-08-03 23:40:28.144106-04:00,28168.144106,697.0,1.371999979019165
OXBR,2026-08-03 15:58:00-04:00,2026-08-03 23:40:28.144106-04:00,27688.144106,545.0,1.3700000047683716
BRCC,2026-08-03 15:54:00-04:00,2026-08-03 23:40:28.144106-04:00,27928.144106,1151.0,1.0741000175476074
