ticker,yf_bars,al_bars,bar_coverage,vol_coverage,matched_bars,close_mae_bps
ADGM,553,35,0.054249547920433995,0.030876138224807403,30,116.53982624506173
HOUR,748,55,0.06550802139037433,0.031050770161477965,49,67.53909096961598
AMPG,7323,2690,0.3570940871227639,0.031138913884812568,2615,19.458118434871405
AIHS,546,64,0.10256410256410256,0.03181718481480614,56,56.495544280824106
UK,423,34,0.06382978723404255,0.032425496608877696,27,81.5864305478285
CNCK,1071,237,0.1792717086834734,0.032623299609505226,192,79.95725397361313
BYSI,369,13,0.016260162601626018,0.03273438889877246,6,45.142838270830026
VRXA,3366,353,0.08348187759952466,0.032829818865662795,281,63.7659560950676
BGMS,496,20,0.024193548387096774,0.033210078489051394,12,170.41452375960534
GDC,3861,234,0.05387205387205387,0.03399606601013182,208,52.74272611910245
BMR,892,81,0.07286995515695067,0.03412058290864676,65,59.927589631343906
XCH,1094,142,0.10054844606946983,0.03424397397701424,110,141.25499262956046
AUID,1656,124,0.059782608695652176,0.035031098067830405,99,55.67610247850185
MDIA,235,13,0.03829787234042553,0.035115722266560255,9,88.44910087905838
BTOC,553,29,0.023508137432188065,0.03511747108477354,13,152.96656264297914
CLRB,656,77,0.07317073170731707,0.0354565740924858,48,40.06565578038738
CVKD,740,70,0.06891891891891892,0.03578963685058085,51,65.23271208372908
ICCM,1300,123,0.06384615384615384,0.03617248047469387,83,50.910425978649734
NVNI,1076,50,0.03810408921933085,0.03671020580794565,41,94.06574776775227
PEW,4260,1323,0.31009389671361504,0.037381354034963274,1321,12.857587389603024
TLSA,2491,475,0.14171015656362906,0.03807313517793662,353,59.672407237566425
DOGZ,328,8,0.012195121951219513,0.03916474210931486,4,13.290550055043983
REVB,487,27,0.039014373716632446,0.03942975427350427,19,100.0457486758079
CAST,4065,948,0.1928659286592866,0.039662480664936,784,45.80854186490991
IPST,257,12,0.0311284046692607,0.039735757214523416,8,32.06796890642516
PYPD,2860,459,0.13496503496503495,0.0402979715067598,386,33.4373441080285
TWAV,587,72,0.0919931856899489,0.040385115565528276,54,59.04408899436753
CRDL,3447,895,0.2181607194662025,0.04086316136064751,752,23.429051734226
AMC,8189,5450,0.665404811332275,0.04135011474757728,5449,15.095212189475294
INEO,1021,85,0.06856023506366307,0.04141003652422681,70,98.62515523472489
AIRJ,6482,2142,0.30792965134217837,0.041643053751128534,1996,14.073248590047525
CANG,2812,398,0.14118065433854907,0.04194420903339834,397,391.95215145438465
AIBZ,4426,700,0.14527790329868956,0.04198911560702876,643,25.748362996534965
FTCI,2084,525,0.1765834932821497,0.04214581822972924,368,35.7858037062537
USDE,4342,739,0.1575310916628282,0.04245213518484638,684,38.49882353965984
FTFT,1664,60,0.03365384615384615,0.04248110502997133,56,58.29164533264284
HCWB,768,106,0.08723958333333333,0.04263974640209538,67,76.87939949210818
REBN,674,55,0.06676557863501484,0.04288118720840513,45,76.82780386925495
ORKT,319,17,0.034482758620689655,0.04301907173981271,11,121.61346321668121
WKSP,2342,229,0.0721605465414176,0.04317415275859065,169,63.517395400866505
ALLR,1001,166,0.1068931068931069,0.04382614273203103,107,53.17475015624841
KEEL,8187,6931,0.8463417613289361,0.04414160733827967,6929,9.398746106182061
IPCX,407,24,0.05405405405405406,0.04416238330011539,22,113.4591146333291
ENVB,1007,160,0.13704071499503476,0.044462429540044375,138,47.856258031756056
ONEG,465,19,0.03655913978494624,0.044565596844755744,17,48.53908597058992
GOVX,1825,122,0.04986301369863014,0.044742951844879586,91,50.664108841006865
MODD,1654,156,0.07859733978234583,0.045149034536951564,130,62.683609287903806
CABR,430,53,0.09302325581395349,0.046655028870686184,40,138.5261650535645
AIXC,433,24,0.046189376443418015,0.046659699111636734,20,101.55909097529698
WHLR,3733,331,0.07741762657380123,0.046744487863570716,289,119.09752602435674
INVZ,5700,1690,0.2828070175438597,0.04678897445476756,1612,22.492923606722854
NXTS,922,34,0.03470715835140998,0.04732211497394721,32,106.48823971550483
NYXH,1626,371,0.14698646986469865,0.04868797985723645,239,25.87656490268247
GCTS,6782,2319,0.3419345325862577,0.04926488667131686,2319,10.828457014165856
PBM,858,82,0.07459207459207459,0.04926782136598057,64,65.96612370517173
STIM,5718,2308,0.36901014340678556,0.04953087205153609,2110,20.73576084710557
PETZ,124,3,0.016129032258064516,0.04975743251648215,2,0.00027826630388805285
FABC,2365,498,0.18562367864693446,0.04997952631061652,439,35.70406910519399
AIMD,508,37,0.051181102362204724,0.0504001224947013,26,55.435795840372066
HDRN,917,49,0.04471101417666303,0.05042846226621061,41,70.03517006660432
BZFD,3595,1240,0.2714881780250348,0.05064385487560066,976,24.743082830683946
DLXY,522,17,0.0210727969348659,0.0506574024585783,11,118.35210341589953
ANNA,2612,449,0.14203675344563552,0.05099001987622838,371,42.05425836471512
NTRP,905,128,0.12265193370165746,0.05115132807249011,111,56.93290301039233
DFSC,790,67,0.07468354430379746,0.05136290027068878,59,121.00180644299104
AHMA,1086,58,0.040515653775322284,0.05147226507478704,44,90.48044355282327
LZMH,580,20,0.03103448275862069,0.051610127826941986,18,85.5856309777157
CLPS,190,9,0.04736842105263158,0.05190196820590462,9,118.58087323203345
OIO,676,67,0.060650887573964495,0.05214087421621897,41,59.37135112789096
BYRN,6064,2271,0.35191292875989444,0.052269173528884744,2134,15.700502429015321
MGX,1733,366,0.13848817080207732,0.05365651458137347,240,29.38517681672607
NAMM,2552,473,0.14890282131661442,0.05445680190847488,380,29.84958035785849
NRGV,8026,4847,0.6037876900074757,0.055014874132409484,4846,9.085080403135478
CRNT,4052,1493,0.2828232971372162,0.056465641223053115,1146,14.290308103789428
CRIS,1225,110,0.05795918367346939,0.057022181580977514,71,53.30419964069572
PLYX,1049,143,0.09818875119161107,0.057049368055821566,103,58.659765011450986
ABLV,215,5,0.009302325581395349,0.05773005426625101,2,190.93414786105376
SLMT,901,86,0.06881243063263041,0.058896557194986515,62,92.31124996576168
QH,615,14,0.01951219512195122,0.05927961157740223,12,57.976869628177944
BAER,3024,1122,0.25595238095238093,0.05943188752329554,774,18.453093857981447
APRE,547,49,0.06946983546617916,0.059635576197056686,38,79.00931806109895
SLNH,8016,3978,0.4921407185628742,0.060532343466492215,3945,26.428216849557806
JYD,585,42,0.06324786324786325,0.06057478868063212,37,67.74468012482916
HMR,793,44,0.04287515762925599,0.06058211306526175,34,58.6443348790886
HSDT,1459,344,0.16518163125428376,0.06109949934380013,241,20.08246826771506
