tp,ratchet,etp,esl,trades,avg_pct,median_pct,win_rate,profit_factor,is_avg,oos_avg,drop_best10,target_rate,stop_rate,close_rate,median_minutes
8,True,16.0,5.0,55,0.9342102828739314,3.9999999999999973,61.81818181818181,1.2916404361773597,1.0794433313780356,0.804001342835769,-0.8167258716434971,16.363636363636363,65.45454545454545,18.181818181818183,34.0
8,True,13.0,5.0,55,0.9342102828739296,3.9999999999999973,61.81818181818181,1.2916404361773595,1.2332894852241876,0.6660703083530086,-0.5106034226639067,21.818181818181817,60.0,18.181818181818183,33.0
15,True,18.0,14.0,55,0.9115130500364405,-1.1457712943990095,45.45454545454545,1.2162952780953435,0.14395253327554766,1.5996707547186206,-0.9964421913360241,5.454545454545454,61.81818181818181,32.72727272727273,74.0
15,True,20.0,12.0,55,0.8795527561348058,-1.1457712943990095,45.45454545454545,1.208711337681998,-0.06235466515540626,1.7240214786708585,-1.4404792559194903,10.909090909090908,56.36363636363636,32.72727272727273,74.0
12,True,17.0,9.0,55,0.8548113907720473,0.27794484990881596,50.90909090909091,1.2253432531905617,-0.08321227707024903,1.695798127458244,-1.1039473981590213,10.909090909090908,61.81818181818181,27.27272727272727,40.0
8,True,13.0,7.0,55,0.8307155307301648,4.670543145058473,61.81818181818181,1.2593315917869699,1.0622828793664587,0.6231034250562465,-0.6267710016007848,10.909090909090908,70.9090909090909,18.181818181818183,33.0
8,True,11.0,7.0,55,0.8016968171843266,4.670543145058473,61.81818181818181,1.2502725711029126,1.0008971391733377,0.6231034250562485,-0.4635056954783358,14.545454545454545,67.27272727272727,18.181818181818183,27.0
15,True,23.0,9.0,55,0.7886298714049249,-1.1457712943990095,45.45454545454545,1.1871360123072334,-0.6392777420784843,2.068822904183154,-1.8138229891130908,12.727272727272727,52.72727272727272,34.54545454545455,74.0
12,True,15.0,6.0,55,0.7812531818752544,0.27794484990881596,50.90909090909091,1.2059520210771206,-0.15154486087305272,1.6175548753737368,-1.0433832948947164,21.818181818181817,50.90909090909091,27.27272727272727,41.0
6,True,9.0,5.0,55,0.76452259398077,4.0,63.63636363636363,1.2674481753390883,1.2879531439888696,0.29524003190454334,-0.40487635989927656,25.454545454545453,58.18181818181818,16.363636363636363,16.0
15,True,18.0,12.0,55,0.7340982106802598,-1.1457712943990095,45.45454545454545,1.1741960541563645,-0.1392777420784834,1.5171249269467195,-1.4404792559194903,10.909090909090908,56.36363636363636,32.72727272727273,74.0
12,True,32.0,9.0,55,0.7255741361855998,0.27794484990881596,50.90909090909091,1.1912740495085379,-0.390904584762556,1.726555058414981,-1.1039473981590218,3.6363636363636362,69.0909090909091,27.27272727272727,40.0
12,True,20.0,9.0,55,0.7202453313430006,0.27794484990881596,50.90909090909091,1.1898692832269793,-0.390904584762556,1.7164487044031547,-1.1039473981590215,7.2727272727272725,65.45454545454545,27.27272727272727,40.0
6,True,18.0,3.0,55,0.7012213080571978,1.9999999999999964,63.63636363636363,1.2453038809125154,1.690508290319472,-0.18572564155725446,-1.2945475113643687,14.545454545454545,65.45454545454545,20.0,28.0
10,True,22.0,0.0,55,0.6925294609914883,-1.0,27.27272727272727,1.1936052211813584,-0.36664205292577523,1.642131507951794,-1.794099584601391,18.181818181818183,54.54545454545454,27.27272727272727,53.0
