signal_i,signal_time,signal_volume,signal_multiple,entry_i,entry_time,fill,outcome,exit_price,exit_time,return_pct,minutes_held,ticker,date,gap_pct,open_price
1,09:42,12658.0,5.262143649310033,2,09:51,2.486999988555908,SL,2.2382999897003173,09:52,-11.000000000000004,1.0,BHST,2026-07-29,6.862750368730701,2.180000066757202
9,09:41,13455.0,6.051630843228619,12,09:45,1.8200000524520874,TP,2.0020000576972965,10:18,9.00000000000002,33.0,YHC,2026-07-30,12.422355695490312,1.809999942779541
71,10:45,126018.0,7.397294684318427,77,10:51,1.249500060081482,SL,1.124550054073334,10:55,-10.999999999999991,4.0,GVH,2026-07-30,12.087906761570355,1.0199999809265137
1,09:31,13308.0,6.733537266882036,4,09:34,1.3912500500679017,TP,1.530375055074692,09:35,9.000000000000005,1.0,LUNG,2026-07-30,11.999998092651367,1.399999976158142
2,09:32,19937.0,5.644043163646405,13,09:44,1.7219999849796297,TP,1.8941999834775929,09:48,9.000000000000012,4.0,DGNX,2026-07-30,10.96774719508224,1.7200000286102295
1,09:31,254558.0,8.573251286885771,20,09:50,1.3331850528717042,EOD,1.2999999523162842,15:59,-3.489159361930943,369.0,SLNH,2026-07-30,6.1403555553045885,1.2100000381469729
6,09:37,17724.0,9.82634081765025,10,09:41,1.1023950576782227,TP,1.212634563446045,09:42,9.0,1.0,FGL,2026-07-31,5.152473824722979,1.0
0,09:30,18843.0,8.005944453231002,4,09:36,2.8299999237060547,EOD,2.740000009536743,15:59,-4.180209066982986,383.0,FTCI,2026-07-31,4.182505334955425,2.740000009536743
2,09:32,203223.0,8.830455599257593,14,09:44,2.6995501041412355,TP,3.050100088119507,09:45,11.985496488489371,1.0,EDBL,2026-08-03,17.596570783511012,2.740000009536743
2,09:32,23627.0,8.010963621147276,20,09:50,2.619749879837036,SL,2.3577748918533326,10:43,-11.000000000000002,53.0,RUBI,2026-08-03,10.76233217417001,2.4700000286102295
0,09:30,5816.0,8.478689787900876,5,09:45,2.4700000286102295,EOD,2.3459999561309814,15:59,-6.020245791212316,374.0,ACON,2026-08-03,4.444440205891928,2.3499999046325684
37,10:21,20175.0,7.070477162253769,49,10:33,2.049099922180176,SL,1.8301000595092773,11:10,-11.687612658629634,37.0,GDC,2026-08-03,4.16666991890433,1.75
